Time,Temperatura,Humitat,Pressió atmosfèrica,Precipitació
2024-05-01,18.016666666666666,57.83796296296296,1004.3611111111111,0.0
2024-05-02,15.810069444444444,49.798611111111114,1010.6875,0.0
2024-05-03,16.27951388888889,53.64930555555556,1016.8680555555555,0.0
2024-05-04,18.401063829787237,55.54255319148936,1014.9652777777778,0.0
2024-05-05,17.341114982578397,74.4808362369338,1012.9790940766551,0.0
2024-05-06,17.405902777777776,79.26736111111111,1011.0173611111111,0.0
2024-05-07,16.53488372093023,70.98139534883721,1016.9247787610619,0.0
2024-05-08,18.500357142857144,54.90714285714286,1019.1840277777778,0.0
2024-05-09,18.875925925925927,52.6037037037037,1019.1145833333334,0.0
2024-05-10,20.220522388059702,54.50373134328358,1018.1145833333334,0.0
2024-05-11,19.689285714285713,57.42142857142857,1017.4861111111111,0.0
2024-05-12,19.58764940239044,70.09561752988049,1016.3055555555555,0.0
2024-05-13,19.487044534412956,75.78542510121457,1012.6041666666666,0.0
2024-05-14,18.148387096774194,85.70564516129032,1005.2083333333334,11.9
2024-05-15,16.85539033457249,77.5278810408922,1006.4826388888889,2.3
2024-05-16,17.151908396946567,76.25190839694656,1007.5972222222222,1.5
2024-05-17,16.53857142857143,78.51428571428572,1008.9826388888889,0.0
2024-05-18,16.3,88.0,1010.9548611111111,2.8
2024-05-19,,,1010.3611111111111,
2024-05-20,19.40487804878049,78.04878048780488,1009.6923076923077,0.8
2024-05-21,19.9076,66.836,1011.9895833333334,0.0
2024-05-22,19.05138888888889,70.46875,1015.78125,0.0
2024-05-23,18.807291666666668,69.14236111111111,1017.6527777777778,0.0
2024-05-24,18.776923076923076,67.71678321678321,1017.8496503496503,0.0
2024-05-25,19.102083333333333,70.58680555555556,1017.1041666666666,0.0
2024-05-26,20.30763888888889,75.18055555555556,1017.09375,0.0
2024-05-27,20.893706293706295,75.63286713286713,1017.7342657342657,0.0
2024-05-28,20.92394366197183,71.07042253521126,1018.9756097560976,0.0
2024-05-29,21.283333333333335,75.18055555555556,1016.2569444444445,0.0
2024-05-30,21.77595818815331,76.93379790940766,1011.5052264808362,0.0
2024-05-31,20.96306620209059,63.358885017421606,1013.0313588850174,0.0
